order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_rate,net_revenue,total_cost
I00001,O0001,P04,1,90.00,54.00,0.00,90.00,54.00
I00002,O0001,P05,2,240.00,144.00,0.00,480.00,288.00
I00003,O0002,P05,2,240.00,144.00,0.00,480.00,288.00
I00004,O0002,P06,1,75.00,30.00,0.00,75.00,30.00
I00005,O0002,P07,2,60.00,24.00,0.00,120.00,48.00
I00006,O0003,P06,3,75.00,30.00,0.00,225.00,90.00
I00007,O0004,P07,3,60.00,24.00,0.10,162.00,72.00
I00008,O0004,P01,2,120.00,72.00,0.00,240.00,144.00
I00009,O0005,P06,3,75.00,30.00,0.00,225.00,90.00
I00010,O0005,P07,2,60.00,24.00,0.00,120.00,48.00
I00011,O0005,P01,1,120.00,72.00,0.00,120.00,72.00
I00012,O0006,P07,3,60.00,24.00,0.00,180.00,72.00
I00013,O0007,P01,3,120.00,72.00,0.00,360.00,216.00
I00014,O0007,P02,1,45.00,18.00,0.00,45.00,18.00
I00015,O0008,P02,2,45.00,18.00,0.10,81.00,36.00
I00016,O0008,P03,2,180.00,108.00,0.00,360.00,216.00
I00017,O0008,P04,1,90.00,54.00,0.00,90.00,54.00
I00018,O0009,P03,3,180.00,108.00,0.00,540.00,324.00
I00019,O0010,P01,3,120.00,72.00,0.00,360.00,216.00
I00020,O0010,P02,3,45.00,18.00,0.00,135.00,54.00
I00021,O0011,P02,2,45.00,18.00,0.00,-90.00,-36.00
I00022,O0011,P03,1,180.00,108.00,0.00,-180.00,-108.00
I00023,O0011,P04,3,90.00,54.00,0.00,-270.00,-162.00
I00024,O0012,P03,1,180.00,108.00,0.10,162.00,108.00
I00025,O0013,P03,3,180.00,108.00,0.00,540.00,324.00
I00026,O0013,P04,2,90.00,54.00,0.00,180.00,108.00
I00027,O0014,P04,1,90.00,54.00,0.00,90.00,54.00
I00028,O0014,P05,3,240.00,144.00,0.00,720.00,432.00
I00029,O0014,P06,1,75.00,30.00,0.00,75.00,30.00
I00030,O0015,P05,3,240.00,144.00,0.00,720.00,432.00
I00031,O0016,P06,1,75.00,30.00,0.10,67.50,30.00
I00032,O0016,P07,1,60.00,24.00,0.00,60.00,24.00
I00033,O0017,P08,1,0.00,0.00,0.00,0.00,0.00
I00034,O0017,P01,2,120.00,72.00,0.00,240.00,144.00
I00035,O0017,P02,2,45.00,18.00,0.00,90.00,36.00
I00036,O0018,P01,1,120.00,72.00,0.00,120.00,72.00
I00037,O0019,P02,2,45.00,18.00,0.00,90.00,36.00
I00038,O0019,P03,2,180.00,108.00,0.00,360.00,216.00
I00039,O0020,P03,1,180.00,108.00,0.10,162.00,108.00
I00040,O0020,P04,1,90.00,54.00,0.00,90.00,54.00
I00041,O0020,P05,3,240.00,144.00,0.00,720.00,432.00
I00042,O0021,P04,3,90.00,54.00,0.00,270.00,162.00
I00043,O0022,P02,2,45.00,18.00,0.00,-90.00,-36.00
I00044,O0022,P03,1,180.00,108.00,0.00,-180.00,-108.00
I00045,O0023,P03,1,180.00,108.00,0.00,180.00,108.00
I00046,O0023,P04,1,90.00,54.00,0.00,90.00,54.00
I00047,O0023,P05,1,240.00,144.00,0.00,240.00,144.00
I00048,O0024,P04,1,90.00,54.00,0.10,81.00,54.00
I00049,O0025,P04,2,90.00,54.00,0.00,180.00,108.00
I00050,O0025,P05,3,240.00,144.00,0.00,720.00,432.00
I00051,O0026,P05,2,240.00,144.00,0.00,480.00,288.00
I00052,O0026,P06,1,75.00,30.00,0.00,75.00,30.00
I00053,O0026,P07,2,60.00,24.00,0.00,120.00,48.00
I00054,O0027,P06,1,75.00,30.00,0.00,75.00,30.00
I00055,O0028,P07,1,60.00,24.00,0.10,54.00,24.00
I00056,O0028,P01,3,120.00,72.00,0.00,360.00,216.00
I00057,O0029,P06,1,75.00,30.00,0.00,75.00,30.00
I00058,O0029,P07,1,60.00,24.00,0.00,60.00,24.00
I00059,O0029,P01,3,120.00,72.00,0.00,360.00,216.00
I00060,O0030,P07,3,60.00,24.00,0.00,180.00,72.00
I00061,O0031,P01,1,120.00,72.00,0.00,120.00,72.00
I00062,O0031,P02,1,45.00,18.00,0.00,45.00,18.00
I00063,O0032,P02,2,45.00,18.00,0.10,81.00,36.00
I00064,O0032,P03,3,180.00,108.00,0.00,540.00,324.00
I00065,O0032,P04,1,90.00,54.00,0.00,90.00,54.00
I00066,O0033,P03,2,180.00,108.00,0.00,-360.00,-216.00
I00067,O0034,P08,2,0.00,0.00,0.00,0.00,0.00
I00068,O0034,P04,3,90.00,54.00,0.00,270.00,162.00
I00069,O0035,P04,1,90.00,54.00,0.00,90.00,54.00
I00070,O0035,P05,3,240.00,144.00,0.00,720.00,432.00
I00071,O0035,P06,2,75.00,30.00,0.00,150.00,60.00
I00072,O0036,P05,1,240.00,144.00,0.10,216.00,144.00
I00073,O0037,P05,2,240.00,144.00,0.00,480.00,288.00
I00074,O0037,P06,1,75.00,30.00,0.00,75.00,30.00
I00075,O0038,P06,3,75.00,30.00,0.00,225.00,90.00
I00076,O0038,P07,3,60.00,24.00,0.00,180.00,72.00
I00077,O0038,P01,2,120.00,72.00,0.00,240.00,144.00
I00078,O0039,P07,2,60.00,24.00,0.00,120.00,48.00
I00079,O0040,P01,3,120.00,72.00,0.10,324.00,216.00
I00080,O0040,P02,1,45.00,18.00,0.00,45.00,18.00
I00081,O0041,P07,1,60.00,24.00,0.00,60.00,24.00
I00082,O0041,P01,3,120.00,72.00,0.00,360.00,216.00
I00083,O0041,P02,2,45.00,18.00,0.00,90.00,36.00
I00084,O0042,P01,3,120.00,72.00,0.00,360.00,216.00
I00085,O0043,P02,2,45.00,18.00,0.00,90.00,36.00
I00086,O0043,P03,3,180.00,108.00,0.00,540.00,324.00
I00087,O0044,P03,3,180.00,108.00,0.10,-486.00,-324.00
I00088,O0044,P04,3,90.00,54.00,0.00,-270.00,-162.00
I00089,O0044,P05,3,240.00,144.00,0.00,-720.00,-432.00
I00090,O0045,P04,1,90.00,54.00,0.00,90.00,54.00
I00091,O0046,P02,3,45.00,18.00,0.00,135.00,54.00
I00092,O0046,P03,1,180.00,108.00,0.00,180.00,108.00
I00093,O0047,P03,1,180.00,108.00,0.00,180.00,108.00
I00094,O0047,P04,2,90.00,54.00,0.00,180.00,108.00
I00095,O0047,P05,2,240.00,144.00,0.00,480.00,288.00
I00096,O0048,P04,1,90.00,54.00,0.10,81.00,54.00
I00097,O0049,P06,3,75.00,30.00,0.00,225.00,90.00
I00098,O0049,P07,2,60.00,24.00,0.00,120.00,48.00
