order_id,order_date,customer_id,region_id,status,promotion_code
O0001,2024-01-02,C002,R01,completed,
O0002,2024-01-09,C009,R01,completed,
O0003,2024-01-16,C001,R01,completed,
O0004,2024-01-23,C002,R01,completed,PROMO_B
O0005,2024-01-05,C006,R02,completed,
O0006,2024-01-12,C012,R02,completed,
O0007,2024-01-19,C003,R02,completed,
O0008,2024-01-26,C004,R02,completed,PROMO_A
O0009,2024-01-08,C012,R02,completed,
O0010,2024-01-08,C008,R03,completed,
O0011,2024-01-15,C010,R03,returned,
O0012,2024-01-22,C005,R03,completed,PROMO_B
O0013,2024-01-11,C008,R04,completed,
O0014,2024-01-18,C011,R04,completed,
O0015,2024-01-25,C001,R04,completed,
O0016,2024-01-07,C008,R04,completed,PROMO_A
O0017,2024-02-02,C009,R01,completed,
O0018,2024-02-09,C001,R01,completed,
O0019,2024-02-16,C002,R01,completed,
O0020,2024-02-23,C012,R01,completed,PROMO_A
O0021,2024-02-05,C001,R01,completed,
O0022,2024-02-05,C012,R02,returned,
O0023,2024-02-12,C003,R02,completed,
O0024,2024-02-19,C004,R02,completed,PROMO_B
O0025,2024-02-08,C011,R03,completed,
O0026,2024-02-15,C005,R03,completed,
O0027,2024-02-22,C006,R03,completed,
O0028,2024-02-04,C010,R03,completed,PROMO_A
O0029,2024-02-11,C011,R04,completed,
O0030,2024-02-18,C001,R04,completed,
O0031,2024-02-25,C008,R04,completed,
O0032,2024-02-07,C011,R04,completed,PROMO_B
O0033,2024-02-14,C007,R04,returned,
O0034,2024-03-02,C001,R01,completed,
O0035,2024-03-09,C004,R01,completed,
O0036,2024-03-16,C009,R01,completed,PROMO_B
O0037,2024-03-05,C003,R02,completed,
O0038,2024-03-12,C004,R02,completed,
O0039,2024-03-19,C012,R02,completed,
O0040,2024-03-26,C005,R02,completed,PROMO_A
O0041,2024-03-08,C005,R03,completed,
O0042,2024-03-15,C006,R03,completed,
O0043,2024-03-22,C010,R03,completed,
O0044,2024-03-04,C005,R03,returned,PROMO_B
O0045,2024-03-11,C008,R03,completed,
O0046,2024-03-11,C007,R04,completed,
O0047,2024-03-18,C008,R04,completed,
O0048,2024-03-25,C011,R04,completed,PROMO_A
O0049,2024-04-02,C002,R01,completed,
O0050,2024-04-09,C012,R01,completed,
O0051,2024-04-16,C001,R01,completed,
O0052,2024-04-23,C002,R01,completed,PROMO_A
O0053,2024-04-05,C004,R02,completed,
O0054,2024-04-12,C012,R02,completed,
O0055,2024-04-19,C005,R02,returned,
O0056,2024-04-26,C004,R02,completed,PROMO_B
O0057,2024-04-08,C012,R02,completed,
O0058,2024-04-08,C006,R03,completed,
O0059,2024-04-15,C010,R03,completed,
O0060,2024-04-22,C007,R03,completed,PROMO_A
O0061,2024-04-11,C008,R04,completed,
O0062,2024-04-18,C011,R04,completed,
O0063,2024-04-25,C007,R04,completed,
O0064,2024-04-07,C008,R04,completed,PROMO_B
O0065,2024-05-02,C012,R01,completed,
O0066,2024-05-09,C001,R01,returned,
O0067,2024-05-16,C002,R01,completed,
O0068,2024-05-23,C009,R01,completed,PROMO_B
O0069,2024-05-05,C001,R01,completed,
O0070,2024-05-05,C010,R02,completed,
O0071,2024-05-12,C003,R02,completed,
O0072,2024-05-19,C004,R02,completed,PROMO_A
O0073,2024-05-08,C010,R03,completed,
O0074,2024-05-15,C005,R03,completed,
O0075,2024-05-22,C008,R03,completed,
O0076,2024-05-04,C010,R03,completed,PROMO_B
O0077,2024-05-11,C011,R04,returned,
O0078,2024-05-18,C007,R04,completed,
O0079,2024-05-25,C008,R04,completed,
O0080,2024-05-07,C009,R04,completed,PROMO_A
O0081,2024-05-14,C007,R04,completed,
O0082,2024-06-02,C001,R01,completed,
O0083,2024-06-09,C002,R01,completed,
O0084,2024-06-16,C009,R01,completed,PROMO_A
O0085,2024-06-05,C005,R02,completed,
O0086,2024-06-12,C004,R02,completed,
O0087,2024-06-19,C012,R02,completed,
O0088,2024-06-26,C003,R02,returned,PROMO_B
O0089,2024-06-08,C005,R03,completed,
O0090,2024-06-15,C008,R03,completed,
O0091,2024-06-22,C010,R03,completed,
O0092,2024-06-04,C005,R03,completed,PROMO_A
O0093,2024-06-11,C006,R03,completed,
O0094,2024-06-11,C007,R04,completed,
O0095,2024-06-18,C002,R04,completed,
O0096,2024-06-25,C011,R04,completed,PROMO_B
O0097,2024-07-02,C002,R01,completed,
O0098,2024-07-09,C009,R01,completed,
O0099,2024-07-16,C001,R01,returned,
O0100,2024-07-23,C004,R01,completed,PROMO_B
O0101,2024-07-05,C004,R02,completed,
O0102,2024-07-12,C012,R02,completed,
O0103,2024-07-19,C003,R02,completed,
O0104,2024-07-26,C004,R02,completed,PROMO_A
O0105,2024-07-08,C010,R02,completed,
O0106,2024-07-08,C006,R03,completed,
O0107,2024-07-15,C010,R03,completed,
O0108,2024-07-22,C005,R03,completed,PROMO_B
O0109,2024-07-11,C008,R04,completed,
O0110,2024-07-18,C009,R04,returned,
O0111,2024-07-25,C007,R04,completed,
O0112,2024-07-07,C008,R04,completed,PROMO_A
O0113,2024-08-02,C009,R01,completed,
O0114,2024-08-09,C001,R01,completed,
O0115,2024-08-16,C004,R01,completed,
O0116,2024-08-23,C009,R01,completed,PROMO_A
O0117,2024-08-05,C001,R01,completed,
O0118,2024-08-05,C012,R02,completed,
O0119,2024-08-12,C003,R02,completed,
O0120,2024-08-19,C006,R02,completed,PROMO_B
O0121,2024-08-08,C010,R03,returned,
O0122,2024-08-15,C005,R03,completed,
O0123,2024-08-22,C006,R03,completed,
O0124,2024-08-04,C010,R03,completed,PROMO_A
O0125,2024-08-11,C009,R04,completed,
O0126,2024-08-18,C007,R04,completed,
O0127,2024-08-25,C008,R04,completed,
O0128,2024-08-07,C011,R04,completed,PROMO_B
O0129,2024-08-14,C007,R04,completed,
O0130,2024-09-02,C003,R01,completed,
O0131,2024-09-09,C002,R01,completed,
O0132,2024-09-16,C009,R01,returned,PROMO_B
O0133,2024-09-05,C003,R02,completed,
O0134,2024-09-12,C004,R02,completed,
O0135,2024-09-19,C010,R02,completed,
O0136,2024-09-26,C003,R02,completed,PROMO_A
O0137,2024-09-08,C005,R03,completed,
O0138,2024-09-15,C006,R03,completed,
O0139,2024-09-22,C010,R03,completed,
O0140,2024-09-04,C007,R03,completed,PROMO_B
O0141,2024-09-11,C006,R03,completed,
O0142,2024-09-11,C007,R04,completed,
O0143,2024-09-18,C008,R04,returned,
O0144,2024-09-25,C011,R04,completed,PROMO_A
O0145,2024-10-02,C004,R01,completed,
O0146,2024-10-09,C009,R01,completed,
O0147,2024-10-16,C001,R01,completed,
O0148,2024-10-23,C002,R01,completed,PROMO_A
O0149,2024-10-05,C004,R02,completed,
O0150,2024-10-12,C010,R02,completed,
O0151,2024-10-19,C003,R02,completed,
O0152,2024-10-26,C004,R02,completed,PROMO_B
O0153,2024-10-08,C012,R02,completed,
O0154,2024-10-08,C006,R03,returned,
O0155,2024-10-15,C011,R03,completed,
O0156,2024-10-22,C005,R03,completed,PROMO_A
O0157,2024-10-11,C008,R04,completed,
O0158,2024-10-18,C011,R04,completed,
O0159,2024-10-25,C007,R04,completed,
O0160,2024-10-07,C002,R04,completed,PROMO_B
O0161,2024-11-02,C009,R01,completed,
O0162,2024-11-09,C001,R01,completed,
O0163,2024-11-16,C002,R01,completed,
O0164,2024-11-23,C009,R01,completed,PROMO_B
O0165,2024-11-05,C003,R01,returned,
O0166,2024-11-05,C012,R02,completed,
O0167,2024-11-12,C003,R02,completed,
O0168,2024-11-19,C004,R02,completed,PROMO_A
O0169,2024-11-08,C010,R03,completed,
O0170,2024-11-15,C007,R03,completed,
O0171,2024-11-22,C006,R03,completed,
O0172,2024-11-04,C010,R03,completed,PROMO_B
O0173,2024-11-11,C011,R04,completed,
O0174,2024-11-18,C007,R04,completed,
O0175,2024-11-25,C002,R04,completed,
O0176,2024-11-07,C011,R04,returned,PROMO_A
O0177,2024-11-14,C007,R04,completed,
O0178,2024-12-02,C001,R01,completed,
O0179,2024-12-09,C002,R01,completed,
O0180,2024-12-16,C012,R01,completed,PROMO_A
O0181,2024-12-05,C003,R02,completed,
O0182,2024-12-12,C004,R02,completed,
O0183,2024-12-19,C012,R02,completed,
O0184,2024-12-26,C003,R02,completed,PROMO_B
O0185,2024-12-08,C007,R03,completed,
O0186,2024-12-15,C006,R03,completed,
O0187,2024-12-22,C010,R03,returned,
O0188,2024-12-04,C005,R03,completed,PROMO_A
O0189,2024-12-11,C006,R03,completed,
O0190,2024-12-11,C001,R04,completed,
O0191,2024-12-18,C008,R04,completed,
O0192,2024-12-25,C011,R04,completed,PROMO_B
O0193,2025-01-02,C002,R01,completed,
O0194,2025-01-09,C009,R01,completed,
O0195,2025-01-16,C003,R01,completed,
O0196,2025-01-23,C002,R01,completed,PROMO_B
O0197,2025-01-05,C004,R02,completed,
O0198,2025-01-12,C012,R02,returned,
O0199,2025-01-19,C003,R02,completed,
O0200,2025-01-26,C006,R02,completed,PROMO_A
O0201,2025-01-08,C012,R02,completed,
O0202,2025-01-08,C006,R03,completed,
O0203,2025-01-15,C010,R03,completed,
O0204,2025-01-22,C005,R03,completed,PROMO_B
O0205,2025-01-11,C002,R04,completed,
O0206,2025-01-18,C011,R04,completed,
O0207,2025-01-25,C007,R04,completed,
O0208,2025-01-07,C008,R04,completed,PROMO_A
O0209,2025-02-02,C009,R01,returned,
O0210,2025-02-09,C003,R01,completed,
O0211,2025-02-16,C002,R01,completed,
O0212,2025-02-23,C009,R01,completed,PROMO_A
O0213,2025-02-05,C001,R01,completed,
O0214,2025-02-05,C012,R02,completed,
O0215,2025-02-12,C005,R02,completed,
O0216,2025-02-19,C004,R02,completed,PROMO_B
O0217,2025-02-08,C010,R03,completed,
O0218,2025-02-15,C005,R03,completed,
O0219,2025-02-22,C006,R03,completed,
O0220,2025-02-04,C011,R03,returned,PROMO_A
O0221,2025-02-11,C011,R04,completed,
O0222,2025-02-18,C007,R04,completed,
O0223,2025-02-25,C008,R04,completed,
O0224,2025-02-07,C011,R04,completed,PROMO_B
O0225,2025-02-14,C001,R04,completed,
O0226,2025-03-02,C001,R01,completed,
O0227,2025-03-09,C002,R01,completed,
O0228,2025-03-16,C009,R01,completed,PROMO_B
O0229,2025-03-05,C003,R02,completed,
O0230,2025-03-12,C006,R02,completed,
O0231,2025-03-19,C012,R02,returned,
O0232,2025-03-26,C003,R02,completed,PROMO_A
O0233,2025-03-08,C005,R03,completed,
O0234,2025-03-15,C006,R03,completed,
O0235,2025-03-22,C011,R03,completed,
O0236,2025-03-04,C005,R03,completed,PROMO_B
O0237,2025-03-11,C006,R03,completed,
O0238,2025-03-11,C007,R04,completed,
O0239,2025-03-18,C008,R04,completed,
O0240,2025-03-25,C009,R04,completed,PROMO_A
